,name,volume,cost,location of manufacture,star rating,number of reviews,core features,main ingredients
163,"Maple, Brown Sugar & Pecan Oatmeal Cups",4 ct,8.0,Domestic,4.4,22,"'o  organic', 'ng non gmo'","100% organic ingredients including quick-cooking oats, maple brown sugar seasoning, salt, cinnamon,pecans"
164,All Purpose Flour,5 lb,8.0,Domestic,5.0,5,"'o  organic', 'ng non gmo', 'af additive free'",100% organic all purpose flour
165,Whole Wheat Flour,5 lb,2.0,Domestic,5.0,1,"'o  organic', 'ng non gmo', 'af additive free'",100% organic whole wheat flour
166,Gluten-Free Flour,2 lb,5.0,Domestic,4.9,12,"'gf gluten free', 'ng non gmo'","brown rice flour, white rice flour, millet flour sorghum flour,xanthan gum (a thickening agent)"
167,Almond Cantuccini,7 oz,4.0,International,4.9,59,"'an all natural', 'ng non gmo'","wheat flour, sugar, eggs,vanilla"
168,Oatmeal Cookies,7 oz,3.0,Domestic,4.8,35,'ng non gmo',"enriched flour, cane sugar, shortening (sustainable palm oil), oat flakes, raisin paste, inverted sugar (glucose,fructose), sea salt, baking soda, caramel color, ammonium carbonate, cinnamon,natural flavors"
169,Chocolate Chip Cookies,7 oz,4.0,Domestic,4.7,44,'ng non gmo',"enriched flour, chocolate chips, butter, cane sugar, molasses, eggs, sea salt, baking soda,natural vanilla flavor"
170,Gluten-Free Chocolate Chip Cookies,7 oz,5.0,Domestic,4.7,43,"'gf gluten free', 'ng non gmo'","sorghum flour, chocolate chips, butter, cane sugar, molasses, whole eggs, sea salt, baking soda,natural vanilla flavor"
171,Rosemary Crackers,5 oz,3.0,Domestic,4.4,50,"'vf vegan friendly', 'ng non gmo'","organic wheat flour, organic rosemary spice blend,sea salt"
172,Garlic & Herb Croutons,4.5 oz,3.5,Domestic,3.8,21,"'vf vegan friendly', 'pf preservative free'","organic multigrain bread, organic sunflower oil, organic granulated garlic, organic paprika, organic basil, organic pepper,organic parsley"
173,Sweet Potato Chips,5 oz,1.5,International,4.2,24,"'gf gluten free', 'ng non gmo', 'ko  kosher'","orange sweet potato, certified RSPO sustainable palm oil,salt"
174,Veggie Chips,5 oz,3.25,International,4.7,40,"'gf gluten free', 'ng non gmo', 'ko  kosher'","white carrot, sweet potato, beetroot, certified RSPO sustainable palm oil,salt"
175,Garlic & Herb Banana Chips,5 oz,5.0,Domestic,4.8,5,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo', 'ko  kosher'","Bananas, natural seasoning, coconut oil, apple cider vinegar,sea salt"
176,Spicy Buffalo Banana Chips,5 oz,5.0,Domestic,3.6,5,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo', 'ko  kosher'","Bananas, natural seasoning, coconut oil, apple cider vinegar,sea salt"
177,Plantain Chips,5 oz,3.25,International,4.7,37,"'gf gluten free', 'ng non gmo', 'ko  kosher'","green plantain, certified RSPO sustainable palm oil,salt"
178,Kettle Corn,5 oz,1.9,Domestic,4.5,27,"'o  organic', 'gf gluten free', 'ng non gmo'","organic popcorn, organic vegetable oil, organic sugar,sea salt"
179,White Cheddar Popcorn,4.5 oz,3.0,Domestic,4.3,33,"'o  organic', 'gf gluten free', 'ng non gmo'","organic popcorn, organic vegetable oil, organic maltodextrin, organic cheddar cheese powder, sea salt, organic nonfat dry milk, organic whey, organic cane sugar, citric acid, organic natural cheese flavor, organic garlic, organic onions,salt"
180,Popcorn,5 oz,2.0,Domestic,4.6,34,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo'","organic corn, oil,salt"
181,Popcorn Kernels,28 oz,5.0,Domestic,5.0,11,"'o  organic', 'ng non gmo', 'af additive free'",organic yellow corn kernels
182,Chocolate Popcorn,10 oz,15.0,Domestic,0.0,0,"'af additive free', 'pf preservative free'","Organic,fairtrade chocolate, almonds,,cashews"
183,Multigrain Tortilla Chips,13 oz,2.0,Domestic,4.9,30,"'gf gluten free', 'ng non gmo'","organic corn flour, organic vegetable oil, organic multigrain blend,sea salt"
184,Pink Himalayan Salt,16 oz,6.0,International,4.8,6,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo'",Himalayan sea salt
185,Black Peppercorns,7.4 oz,9.0,International,0.0,0,"'vf vegan friendly', 'gf gluten free', 'an all natural', 'ng non gmo'",Black pepper
186,Everything Bagel Seasoning,2.6 oz,4.25,NA,4.9,14,"'vf vegan friendly', 'gf gluten free', 'ng non gmo', 'af additive free'","Sesame seeds, salt, dehydrated onion, dehydrated garlic, black sesame seeds, poppy seeds"
187,Cayenne Pepper,1.7 oz,4.0,Domestic and International,5.0,1,"'o  organic', 'ng non gmo', 'ko  kosher'",organic cayenne pepper
188,Paprika,1.7 oz,4.0,Domestic and International,4.8,5,"'o  organic', 'ng non gmo', 'ko  kosher'",organic paprika
189,Italian Seasoning,0.7 oz,4.0,Domestic,4.7,6,"'o  organic', 'ng non gmo', 'ko  kosher'","organic basil, organic oregano, organic rosemary, organic garlic, organic mushrooms"
190,Ground Cumin,1.8 oz,4.0,International,4.8,8,"'o  organic', 'ng non gmo', 'ko  kosher'",organic ground cumin
191,Dried Basil,0.5 oz,4.0,Domestic and International,5.0,2,"'o  organic', 'ng non gmo', 'ko  kosher'",organic dried basil
192,Garlic Powder,2.3 oz,4.0,International,4.9,12,"'o  organic', 'ng non gmo', 'ko  kosher'",organic garlic powder
193,Crushed Red Pepper Flakes,1.1 oz,4.0,Domestic and International,4.8,8,"'o  organic', 'ng non gmo', 'ko  kosher'",organic crushed red chile flakes
194,Oregano,0.6 oz,4.0,International,4.8,10,"'o  organic', 'ng non gmo', 'ko  kosher'",organic oregano
195,Turmeric Powder,2.3 oz,4.0,International,5.0,6,"'o  organic', 'ng non gmo', 'ko  kosher'",organic turmeric powder
196,Ground Cinnamon,1.3 oz,4.0,International,5.0,12,"'o  organic', 'ng non gmo', 'ko  kosher'",organic ground cinnamon
197,Ranch Dressing,12 fl oz,3.9,Domestic,4.0,10,"'o  organic', 'gf gluten free', 'ng non gmo', 'ko  kosher'","organic soybean oil, water, organic white distilled vinegar, organic buttermilk blend, organic sugar, salt, organic egg yolks, organic onion powder, organic apple cider vinegar, organic garlic powder, organic lemon juice concentrate, organic black pepper, organic mustard flour, organic xanthan gum, organic dill, organic parsley,mustard oil"
198,Balsamic Vinaigrette,12 fl oz,3.9,Domestic,5.0,9,"'o  organic', 'gf gluten free', 'ng non gmo'","organic soybean oil, water, organic balsamic vinegar, organic white distilled vinegar, organic sugar, salt, organic garlic powder, organic black pepper,xanthan gum (a thickening agent)"
199,Italian Dressing,12 fl oz,3.9,Domestic,5.0,7,"'o  organic', 'gf gluten free', 'ng non gmo'","water, organic soybean oil, organic white distilled vinegar, organic sugar, salt, organic garlic powder, organic onion powder, organic black pepper, organic dried garlic, organic red bell pepper, xanthan gum, organic oregano, organic red pepper,organic dried basil"
200,Balsamic Vinegar,8.5 fl oz,4.5,International,4.7,17,"'gf gluten free', 'an all natural', 'ng non gmo', 'pf preservative free'","concentrated grape must,wine vinegar"
201,Margarita Mix,16.9 oz,11.0,Domestic,5.0,2,"'gf gluten free', 'an all natural', 'pf preservative free'","All natural lime,orange juices, cane sugar,,sea salt"
202,Jalapeño Bloody Mary Mix,16.9 oz,11.0,Domestic,4.5,2,"'gf gluten free', 'an all natural', 'pf preservative free'","All natural tomato puree, lime juice, fresh jalapeño, savory spices, sea salt"
203,Yellow Mustard,12 oz,2.4,Domestic,4.8,15,"'gf gluten free', 'ng non gmo'","organic mustard seeds, organic distilled vinegar, organic turmeric,paprika for color, organic spices"
204,Mayonnaise,12 fl oz,4.0,Domestic,4.4,18,"'o  organic', 'gf gluten free', 'ng non gmo'","organic expeller pressed soybean oil, organic eggs, organic vinegar, organic mustard,lemon juice"
205,Coconut Oil,16 fl oz,7.5,International,5.0,20,"'vf vegan friendly', 'gf gluten free'","organic,unrefined cold pressed coconut oil"
206,Avocado Oil,16.9 fl oz,9.0,International,4.9,22,"'an all natural', 'ng non gmo'",100% pure avocado oil
207,Extra Virgin Olive Oil,16.9 fl oz,9.0,International,4.7,24,"'gf gluten free', 'an all natural', 'ng non gmo', 'pf preservative free'",certified organic cold pressed Italian olives
208,Extra Virgin Olive Oil Spray,8 fl oz,5.75,"International, International and Greece",4.7,25,"'o  organic', 'gf gluten free', 'af additive free', 'pf preservative free'",organic extra virgin olive oil
209,Garlic Habanero Hot Sauce,5 fl oz,3.5,Domestic,4.8,54,"'gf gluten free', 'an all natural', 'pf preservative free'","organic tomato purée, organic vinegar, organic sugar, organic blend of onion,spices"
210,Parmesan Cheese,8 oz,4.25,Domestic,4.4,16,"'gf gluten free', 'an all natural'","part-skim milk parmesan cheese, salt, cellulose,potassium sorbate to prevent caking,preserve flavor"
211,Tomato Basil Pasta Sauce,21 fl oz,4.75,International,4.3,3,"'gf gluten free', 'an all natural', 'pf preservative free'","pureed tomatoes, extra virgin olive oil, basil, herbs,spices,brown sugar'"
212,Pesto Sauce,6.35 fl oz,4.25,International,4.7,63,"'gf gluten free', 'an all natural', 'ng non gmo'","sunflower seed,extra virgin olive oils, basil, Parmigiano Reggiano, garlic, cashew,pine nuts"
213,Buffalo Sauce,15.3 oz,4.5,Domestic,5.0,27,"'vf vegan friendly', 'gf gluten free', 'pf preservative free', 'df dairy free'","cayenne pepper, distilled vinegar, salt, garlic powder,soybean oil"
214,Brown & Wild Rice,8.8 oz,4.5,International,4.6,14,"'o  organic', 'ng non gmo', 'af additive free'","organic brown,wild rice, organic extra virgin olive oil,sea salt"
215,Seven Grain & Lentil,8.8 oz,4.5,International,4.9,12,"'o  organic', 'ng non gmo', 'af additive free'","a select blend of organic grains, organic extra virgin olive oil,sea salt"
216,"Spelt, Lentil & Brown Rice",8.8 oz,4.5,International,4.8,15,"'o  organic', 'ng non gmo', 'af additive free'","a select blend of organic spelt, brown rice, brown lentils, organic extra virgin olive oil,sea salt"
217,Apple Cinnamon Oatmeal Cups,4 ct,8.0,Domestic,4.5,17,"'o  organic', 'ng non gmo'","100% organic ingredients including quick-cooking oats, maple brown sugar seasoning, salt, cinnamon,dried apples"
218,Chocolate Variety Pack,5 ct,25.0,Domestic,4.3,12,"'o  organic', 'ft fair trade', 'af additive free', 'ko  kosher'","100% pure, organic dark,milk chocolate, orange oil, coffee, almonds"
219,Chocolate Gift Box,1 ct,45.0,Domestic,0.0,0,"'af additive free', 'pf preservative free'","Milk chocolate pretzels, dark chocolate pretzels, chocolate toffee popcorn,,milk chocolate toffee"
220,Men’s Daily Multivitamin,90 ct,9.0,Domestic,3.8,16,"'gf gluten free', 'pf preservative free', 'df dairy free', 'sf soy free'","a pure,potent formula containing all the vitamins,minerals necessary to support optimal daily nutrition'"
221,Vegan Prenatal,90 ct,12.0,Domestic,3.7,15,"'vf vegan friendly', 'gf gluten free', 'pf preservative free'","essential nutrition for a healthy pregnancy, including folate, vitamin B, iron,a blend of probiotics,enzymes"
222,Vitamin B12,90 ct,7.0,Domestic,4.4,12,"'vf vegan friendly', 'gf gluten free', 'pf preservative free', 'df dairy free', 'sf soy free'",Vitamin B12 (as cyanocobalamin)
223,Vitamin C,90 ct,6.5,Domestic,4.8,5,"'vf vegan friendly', 'gf gluten free', 'pf preservative free', 'df dairy free', 'sf soy free'",1000 milligrams of ascorbic acid
224,Melatonin,90 ct,10.0,Domestic,4.7,15,"'gf gluten free', 'pf preservative free', 'df dairy free', 'sf soy free'","melatonin, calcium,phosphorus"
225,Joint Support,60 ct,10.0,Domestic,4.7,11,"'gf gluten free', 'pf preservative free', 'df dairy free', 'sf soy free'","glucosamine sulfate sodium salt, MSM (methylsulfonylmethane), type II chicken collagen,chondroitin sulfate"
226,Magnesium,90 ct,6.5,Domestic,4.4,10,"'vf vegan friendly', 'gf gluten free', 'pf preservative free', 'df dairy free', 'sf soy free'","magnesium, calcium,phosphorus"
227,"Hair, Skin, & Nails",60 ct,8.0,Domestic,4.6,19,"'gf gluten free', 'pf preservative free', 'sf soy free'","a powerful formula to support hair, skin,nails, including biotin, folate, zinc,vitamins A, B, C, D,E"
228,Probiotic,90 ct,18.0,Domestic,4.9,22,"'gf gluten free', 'pf preservative free', 'sf soy free'","a blend of yeasts,live microorganisms designed for optimal intestinal health"
229,Turmeric Supplement,90 ct,18.0,Domestic,4.6,19,"'vf vegan friendly', 'gf gluten free', 'pf preservative free'","turmeric extract (curcuma longa)(rhizome), standardized for 95% curcuminoids, bioperine® (piper nigrum) (fruit), providing 95% piperine"
230,Vitamin D3,90 ct,6.5,Domestic,4.7,23,"'gf gluten free', 'pf preservative free', 'df dairy free', 'sf soy free'",vitamin D3 as cholecalciferol
231,Dog Kibble - 24 lb,24 lbs,52.0,Domestic,4.4,7,'sf soy free',
232,Dog Kibble - 4 lb,4 lbs,13.5,Domestic,4.8,4,'sf soy free',
233,Dog Food - Freeze Dried Duck Nibs,14 oz,33.75,Domestic,4.6,9,,"duck, duck liver, duck gizzard, duck heart, goat’s milk, herring oil, mixed tocopherols (preservative),d alpha-tocopherol (source of vitamin E)"
234,Dog Treats - Sweet Potato Fry Chews,6 oz,7.75,Domestic,5.0,23,'pf preservative free',dehydrated sweet potato'
235,Dog Treats - Freeze Dried Chicken,2 oz,9.0,Domestic,4.7,19,,"boneless, skinless chicken breast"
236,Dog Cheese Chew,4.5 oz,10.0,Domestic,4.1,15,'an all natural',"potato starch, cheese, peanut butter powder, vegetable glycerin, peanuts,vinegar (a preservative)"
237,Oatmeal & Aloe Dog Shampoo,16 fl oz,9.0,Domestic,4.9,15,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'pf phthalate free', 'pp plant protein'","water, sodium alpha olefin sulfonate, cocamidopropyl betaine, coconut oil, sodium gluconate, glycerin, table salt, citric acid, oat extract, colloidal oatmeal, aloe barbadensis leaf juice,naturally derived fragrance oils"
238,Dog Waste Bags,80 ct,13.25,Domestic,4.3,8,,"non-gmo corn,vegetable matter"
239,Cat Kibble - 12 lb,12 lbs,32.0,Domestic,5.0,2,'sf soy free',
240,Cat Kibble - 4 lb,4 lbs,12.75,Domestic,5.0,7,'sf soy free',
241,Cat Food - Freeze Dried Duck Nibs,7.5 oz,20.25,Domestic,4.4,7,,"duck, duck liver, duck gizzard, duck heart, goat’s milk, herring oil, mixed tocopherols (preservative),d alpha-tocopherol (source of vitamin E)"
242,Cat Treats - Freeze Dried Minnows,1 oz,9.0,Domestic,4.3,23,,minnows
243,Catnip,1 oz,7.5,Domestic,5.0,8,'an all natural',"fresh leaf,flower catnip"
244,Dog Bundle,5 ct,53.5,Domestic,0.0,0,"'an all natural', 'sf soy free'","beautiful,sustainble pet care essentials"
245,Cat Bundle,4 ct,49.5,Domestic,5.0,1,,"beautiful,sustainable pet care essentials"
