,name,volume,cost,location of manufacture,star rating,number of reviews,core features,main ingredients
53,Applicator Free Cotton Tampons - Super,18 ct,4.0,International,4.4,17,"'cf chlorine free', 'nr no rayon'",organic cotton
54,Tree Free Napkins,50 ct,3.0,International,4.6,24,"'tf tree free', 'bb bam boo', 'sc sugar cane', 'bd bio degradable'","50 sheets per pack, non-GMO certified bamboo,sugarcane processed with elemental chlorine free (ECF) bleaching"
55,Face Masks,10 ct,44.0,International,4.1,84,"'af adjustable fit', 'bp breathing protection', 'od ozone disinfection', 'nm non medical'","5 layers of 100% polypropylene,cotton filters"
56,Tree Free Pocket Tissues,10 ct,3.0,International,4.4,29,"'tf tree free', 'bb bam boo', 'bd bio degradable'","10 pocked-sized packs, non-GMO Certified bamboo,sugarcane processed with elemental chlorine free (ECF) bleaching"
57,Tree Free Tissue Box,180 ct,3.0,International,4.1,74,"'tf tree free', 'bb bam boo', 'bd bio degradable'","180 sheets per box, non-GMO certified bamboo,sugarcane processed with elemental chlorine free (ECF) bleaching"
58,Cleaner Refills,3 ct,7.5,Domestic,4.7,12,"'vf vegan friendly', 'gf gluten free', 'cf cruelty free'",
59,Bathroom Cleaner + Refill Kit,2 ct,7.5,Domestic,4.2,25,,"purified water, coconut-derived actives, citric acid, natural rosemary oil, natural lemon oil"
60,Surface Cleaner + Refill Kit,2 ct,7.5,Domestic,4.7,27,,
61,Glass Cleaner + Refill Kit,2 ct,7.5,Domestic,4.7,18,,"purified water, coconut,corn derived active ingredients, food grade preservative, citric acid"
62,Bathroom Cleaner,24 fl oz,5.75,Domestic,4.5,38,"'bd bio degradable', 'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","purified water, coconut-derived actives, citric acid, natural rosemary oil, natural lemon oil"
63,Surface Cleaner,24 fl oz,5.75,Domestic,4.5,103,"'bd bio degradable', 'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","purified water, active ingredients derived from coconut, food grade preservative,jasmine essential oils"
64,Glass Cleaner,24 fl oz,5.75,Domestic,4.7,39,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'ff fragrance free', 'cf cruelty free'","purified water, coconut,corn derived active ingredients, food grade preservative, citric acid"
65,Bathroom Cleaner Refill,1 oz,2.75,Domestic,4.9,21,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'nf natural fragrance', 'cf cruelty free'","purified water, coconut-derived actives, citric acid, natural rosemary oil,natural lemon oil"
66,Surface Cleaner Refill,1 oz,2.75,Domestic,4.7,27,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'cf cruelty free'","purified water, active ingredients derived from coconut, food grade preservative,jasmine essential oils"
67,Glass Cleaner Refill,1 oz,2.75,Domestic,4.8,10,"'pf paraben free', 'vf vegan friendly', 'fs free of sulfate', 'gf gluten free', 'ff fragrance free', 'cf cruelty free'","purified water, coconut,corn-derived active ingredients, food-grade preservative, citric acid"
68,Dishwasher Detergent Pods,24 ct,6.95,Domestic,4.4,91,"'bd bio degradable', 'bs baby safe', 'an all natural'","24 water-soluble pods containing sodium carbonate, lemon essential oil, sodium silicate,enzymes"
69,Walnut Scouring Pad,4 ct,2.75,International,4.7,47,"'df dishwasher friendly', 'ef eco friendly'","ground walnut shells, recycled fibers, plant-based cellulose,,non-toxic adhesive"
70,Walnut Scrubber Sponge,4 ct,4.75,International,4.8,62,'ef eco friendly',"walnut-based scrubbing abrasive,all natural vegetable cellulose'"
